date,product_id,region,daily_sales,price,promotion
2025-01-09 13:35:44.019029,P001,North,170,133.83,0
2025-01-09 13:35:44.019029,P002,West,64,59.72,0
2025-01-09 13:35:44.019029,P003,East,55,294.92,0
2025-01-09 13:35:44.019029,P004,West,141,239.6,0
2025-01-09 13:35:44.019029,P005,North,24,221.03,0
2025-01-09 13:35:44.019029,P006,West,128,145.3,0
2025-01-09 13:35:44.019029,P007,South,39,229.98,0
2025-01-09 13:35:44.019029,P008,South,42,114.6,0
2025-01-09 13:35:44.019029,P009,North,102,56.45,1
2025-01-09 13:35:44.019029,P010,East,104,80.99,0
2025-01-10 13:35:44.019029,P001,East,79,73.27,0
2025-01-10 13:35:44.019029,P002,North,128,290.05,0
2025-01-10 13:35:44.019029,P003,West,61,102.66,0
2025-01-10 13:35:44.019029,P004,South,46,134.29,0
2025-01-10 13:35:44.019029,P005,West,135,176.07,0
2025-01-10 13:35:44.019029,P006,North,20,379.2,0
2025-01-10 13:35:44.019029,P007,South,147,396.78,0
2025-01-10 13:35:44.019029,P008,East,36,412.29,0
2025-01-10 13:35:44.019029,P009,North,158,142.16,0
2025-01-10 13:35:44.019029,P010,South,67,143.87,1
2025-01-11 13:35:44.019029,P001,South,29,197.69,0
2025-01-11 13:35:44.019029,P002,South,133,272.49,0
2025-01-11 13:35:44.019029,P003,West,71,442.33,0
2025-01-11 13:35:44.019029,P004,West,172,304.84,0
2025-01-11 13:35:44.019029,P005,North,92,63.0,0
2025-01-11 13:35:44.019029,P006,North,73,493.37,0
2025-01-11 13:35:44.019029,P007,West,166,425.09,0
2025-01-11 13:35:44.019029,P008,West,53,225.11,0
2025-01-11 13:35:44.019029,P009,East,63,190.55,1
2025-01-11 13:35:44.019029,P010,South,57,403.57,0
2025-01-12 13:35:44.019029,P001,South,111,486.34,0
2025-01-12 13:35:44.019029,P002,West,114,216.87,1
2025-01-12 13:35:44.019029,P003,East,114,75.74,0
2025-01-12 13:35:44.019029,P004,East,174,143.04,0
2025-01-12 13:35:44.019029,P005,South,186,158.36,1
2025-01-12 13:35:44.019029,P006,South,134,214.58,0
2025-01-12 13:35:44.019029,P007,South,89,100.18,1
2025-01-12 13:35:44.019029,P008,East,117,489.01,0
2025-01-12 13:35:44.019029,P009,North,149,234.29,0
